district,district_EN,pop_11,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/1/20.1,6/2/20,6/3/20,Notes,6/4/20
Άγιον Όρος,Mount Athos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,608182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,9,9,11,11,14,14,14,14,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,76,76,76,82,82,83,84,84,88,88,93,91,91,91,91,91,91,99,99,100,102,102,102,102,102,102,105,105,105,105,105,105,105.0,108.0,109,109.0,109.0,114.0,114.0,114.0,114.0,119.0,122.0,,125.0
Περιφέρεια Αττικής,Attica,3753783.0,0,1,2,2,4,4,4,4,4,5,12,21,21,22,25,27,27,90,90,90,90,118,121,249,249,343,343,428,428,517,517,517,517,759,759,759,759,759,759,759,759,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1401,1401,1401,1437,1437,1465,1472,1472,1488,1488,1496,1512,1512,1512,1512,1512,1512,1566,1566,1581,1589,1589,1589,1589,1589,1589,1625,1632,1636,1637,1637,1637,1637.0,1640.0,1641,1641.0,1641.0,1641.0,1642.0,1642.0,1642.0,1643.0,1653.0,,1654.0
Περιφέρεια Βορείου Αιγαίου,North Aegean,199231.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,12,12,12,12,12,12,12.0,12.0,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,,13.0
Περιφέρεια Δυτικής Ελλάδας,Western Greece,679796.0,0,0,0,0,0,0,0,1,2,4,17,17,17,17,17,17,17,49,49,49,49,50,50,50,50,54,54,54,54,54,54,54,54,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,84,84,84,84,84,83,83,83,84,84,94,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85.0,84.0,84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,85.0,Something goes wrong with numbers given by source.,85.0
Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,283689.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,27,28,22,22,26,26,30,30,33,33,33,33,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,156,156,156,156,156,160,160,160,162,162,160,163,163,163,163,163,163,162,162,162,162,162,162,162,162,162,162,161,160,160,160,160,160.0,160.0,158,158.0,158.0,158.0,158.0,158.0,158.0,158.0,159.0,Something goes wrong with numbers given by source.,160.0
Περιφέρεια Θεσσαλίας,Thessaly,732762.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,10,10,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,34,39,39,39,39,39,39,39,39,39,39,39,39,69,69,69,70,70,76,77,77,81,81,81,81,81,81,81,81,81,83,83,96,102,102,102,102,102,102,140,143,143,162,162,162,162.0,163.0,162,173.0,173.0,175.0,174.0,174.0,174.0,174.0,174.0,Something goes wrong with numbers given by source.,176.0
Περιφέρεια Ιονίων Νήσων,Ionian Islands,207855.0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.0,14.0,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,14.0
Περιφέρεια Κρήτης,Crete,623065.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,4,4,4,5,5,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.0,21.0,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,21.0
Περιφέρεια Νοτίου Αιγαίου,South Aegean,309015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0,10.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,,11.0
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,547390.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,70,70,70,73,73,73,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75.0,74.0,74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,75.0,Something goes wrong with numbers given by source.,76.0
Χωρίς Γεωγραφικό Προσδιορισμό,No Location Provided,,0,0,0,0,0,0,0,0,21,28,28,36,36,39,45,61,134,71,174,195,230,191,228,129,164,136,207,133,225,171,245,340,435,164,266,367,495,564,624,684,704,457,509,578,612,679,712,743,768,790,805,822,833,833,842,848,855,28,55,71,24,41,23,21,36,27,35,6,19,29,50,65,78,97,32,42,21,21,31,71,80,95,97,20,19,19,19,21,23,27.0,13.0,21,10.0,13.0,8.0,9.0,10.0,10.0,10.0,8.0,,8.0
