Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,unit,covid_deaths_2020,covid_deaths_21,all_deaths_20,all_deaths_21
Περιφέρεια Δυτικής Ελλάδας,Στερεά Ελλάδα,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Αιτωλοακαρνανίας,47,341,2943,3304
Περιφέρεια Νοτίου Αιγαίου,Νησιά Αιγαίου Πελάγους,ΚΥΚΛΑΔΩΝ,Άνδρου,1,2,86,97
Περιφέρεια Πελοποννήσου,Πελοπόννησος,ΑΡΓΟΛΙΔΑΣ,Αργολίδας,1,95,1374,1506
Περιφέρεια Πελοποννήσου,Πελοπόννησος,ΑΡΚΑΔΙΑΣ,Αρκαδίας,13,115,1474,1504
Περιφέρεια Ηπείρου,Ήπειρος,ΑΡΤΑΣ,Άρτας,8,62,1099,1162
Περιφέρεια Αττικής,Αττική,ΑΤΤΙΚΗΣ,Αττικής,801,4766,39824,44726
Περιφέρεια Δυτικής Ελλάδας,Πελοπόννησος,ΑΧΑΪΑΣ,Αχαΐας,32,517,3609,4110
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Στερεά Ελλάδα,ΒΟΙΩΤΙΑΣ,Βοιωτίας,13,171,1526,1758
Περιφέρεια Δυτικής Μακεδονίας,Μακεδονία,ΓΡΕΒΕΝΩΝ,Γρεβενών,53,36,630,603
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Μακεδονία,ΔΡΑΜΑΣ,Δράμας,186,167,1924,1694
Περιφέρεια Νοτίου Αιγαίου,Νησιά Αιγαίου Πελάγους,ΔΩΔΕΚΑΝΗΣΩΝ,Δωδεκανήσου,5,91,1736,2030
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Θράκη,ΕΒΡΟΥ,Έβρου,48,216,2104,2281
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Στερεά Ελλάδα,ΕΥΒΟΙΑΣ,Εύβοιας,15,181,2879,3599
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Στερεά Ελλάδα,ΕΥΡΥΤΑΝΙΑΣ,Ευρυτανίας,4,21,262,291
Περιφέρεια Ιονίων Νήσων,Νησιά Ιονίου Πελάγους,ΖΑΚΥΝΘΟΥ,Ζακύνθου,2,36,499,526
Περιφέρεια Δυτικής Ελλάδας,Πελοπόννησος,ΗΛΕΙΑΣ,Ηλείας,21,184,2328,2520
Περιφέρεια Κεντρικής Μακεδονίας,Μακεδονία,ΗΜΑΘΙΑΣ,Ημαθίας,166,274,2091,2273
Περιφέρεια Κρήτης,Κρήτη,ΗΡΑΚΛΕΙΟΥ,Ηρακλείου,26,235,3003,3428
Περιφέρεια Ηπείρου,Ήπειρος,ΘΕΣΠΡΩΤΙΑΣ,Θεσπρωτίας,6,25,632,678
Περιφέρεια Κεντρικής Μακεδονίας,Μακεδονία,ΘΕΣΣΑΛΟΝΙΚΗΣ,Θεσσαλονίκης,934,2065,11288,12559
Περιφέρεια Ιονίων Νήσων,Νησιά Ιονίου Πελάγους,ΚΕΦΑΛΛΟΝΙΑΣ,Ιθάκης,0,1,34,44
Περιφέρεια Ηπείρου,Ήπειρος,ΙΩΑΝΝΙΝΩΝ,Ιωαννίνων,17,60,1889,2092
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Μακεδονία,ΚΑΒΑΛΑΣ,Καβάλας,143,244,2152,2224
Περιφέρεια Θεσσαλίας,Θεσσαλία,ΚΑΡΔΙΤΣΑΣ,Καρδίτσας,49,149,1822,2049
Περιφέρεια Δυτικής Μακεδονίας,Μακεδονία,ΚΑΣΤΟΡΙΑΣ,Καστοριάς,46,78,692,783
Περιφέρεια Ιονίων Νήσων,Νησιά Ιονίου Πελάγους,ΚΕΡΚΥΡΑΣ,Κέρκυρας,6,48,1431,1573
Περιφέρεια Ιονίων Νήσων,Νησιά Ιονίου Πελάγους,ΚΕΦΑΛΛΟΝΙΑΣ,Κεφαλληνίας,1,21,508,531
Περιφέρεια Κεντρικής Μακεδονίας,Μακεδονία,ΚΙΛΚΙΣ,Κιλκίς,197,399,1881,2063
Περιφέρεια Δυτικής Μακεδονίας,Μακεδονία,ΚΟΖΑΝΗΣ,Κοζάνης,95,261,1998,2173
Περιφέρεια Πελοποννήσου,Πελοπόννησος,ΚΟΡΙΝΘΟΥ,Κορινθίας,5,151,2022,2364
Περιφέρεια Νοτίου Αιγαίου,Νησιά Αιγαίου Πελάγους,ΚΥΚΛΑΔΩΝ,Κυκλάδων,2,47,1136,1201
Περιφέρεια Πελοποννήσου,Πελοπόννησος,ΛΑΚΩΝΙΑΣ,Λακωνίας,2,66,1221,1359
Περιφέρεια Θεσσαλίας,Θεσσαλία,ΛΑΡΙΣΑΣ,Λάρισας,181,549,3470,3892
Περιφέρεια Κρήτης,Κρήτη,ΛΑΣΙΘΙΟΥ,Λασιθίου,2,35,982,1075
Περιφέρεια Βορείου Αιγαίου,Νησιά Αιγαίου Πελάγους,ΛΕΣΒΟΥ,Λέσβου,34,75,1163,1145
Περιφέρεια Ιονίων Νήσων,Νησιά Ιονίου Πελάγους,ΛΕΥΚΑΔΑΣ,Λευκάδας,2,17,387,391
Περιφέρεια Βορείου Αιγαίου,Νησιά Αιγαίου Πελάγους,ΛΕΣΒΟΥ,Λήμνου,3,8,188,190
Περιφέρεια Θεσσαλίας,Θεσσαλία,ΜΑΓΝΗΣΙΑΣ,Μαγνησίας,147,431,2617,3066
Περιφέρεια Πελοποννήσου,Πελοπόννησος,ΜΕΣΣΗΝΙΑΣ,Μεσσηνίας,12,161,2305,2527
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Θράκη,ΞΑΝΘΗΣ,Ξάνθης,81,181,1363,1428
Περιφέρεια Κεντρικής Μακεδονίας,Μακεδονία,ΠΕΛΛΑΣ,Πέλλας,261,377,2459,2557
Περιφέρεια Κεντρικής Μακεδονίας,Μακεδονία,ΠΙΕΡΙΑΣ,Πιερίας,241,334,2032,2082
Περιφέρεια Ηπείρου,Ήπειρος,ΠΡΕΒΕΖΑΣ,Πρέβεζας,10,47,823,842
Περιφέρεια Κρήτης,Κρήτη,ΡΕΘΥΜΝΟΥ,Ρεθύμνου,2,53,918,1004
Περιφέρεια Ανατολικής Μακεδονίας Θράκης,Θράκη,ΡΟΔΟΠΗΣ,Ροδόπης,64,116,1572,1656
Περιφέρεια Βορείου Αιγαίου,Νησιά Αιγαίου Πελάγους,ΣΑΜΟΥ,Σάμου,1,17,515,538
Περιφέρεια Κεντρικής Μακεδονίας,Μακεδονία,ΣΕΡΡΩΝ,Σερρών,279,541,3513,3669
Περιφέρεια Θεσσαλίας,Θεσσαλία,ΤΡΙΚΑΛΩΝ,Τρικάλων,73,213,1948,2118
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Στερεά Ελλάδα,ΦΘΙΩΤΙΔΑΣ,Φθιώτιδας,31,282,2290,2633
Περιφέρεια Δυτικής Μακεδονίας,Μακεδονία,ΦΛΩΡΙΝΑΣ,Φλώρινας,58,67,732,797
Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Στερεά Ελλάδα,ΦΩΚΙΔΑΣ,Φωκίδας,8,44,608,648
Περιφέρεια Κεντρικής Μακεδονίας,Μακεδονία,ΧΑΛΚΙΔΙΚΗΣ,Χαλκιδικής,115,193,1502,1586
Περιφέρεια Κρήτης,Κρήτη,ΧΑΝΙΩΝ,Χανίων,4,84,1697,1840
Περιφέρεια Βορείου Αιγαίου,Νησιά Αιγαίου Πελάγους,ΧΙΟΥ,Χίου,8,32,614,669