"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Continent
USA,"614,246",360,"26,064",17,"38,820","549,362","13,473","1,856",79,"3,100,387","9,367",North America
Spain,"174,060",,"18,255",,"67,504","88,301","7,371","3,723",390,"600,000","12,833",Europe
Italy,"162,488",,"21,067",,"37,130","104,291","3,186","2,687",348,"1,073,689","17,758",Europe
France,"143,303",,"15,729",,"28,805","98,769","6,730","2,195",241,"333,807","5,114",Europe
Germany,"132,210",,"3,495",,"72,600","56,115","4,288","1,578",42,"1,317,887","15,730",Europe
UK,"93,873",,"12,107",,N/A,"81,422","1,559","1,383",178,"382,650","5,637",Europe
Iran,"74,877",,"4,683",,"48,129","22,065","3,691",891,56,"287,359","3,421",Asia
Turkey,"65,111",,"1,403",,"4,799","58,909","1,809",772,17,"443,626","5,260",Asia
Belgium,"31,119",,"4,157",,"6,868","20,094","1,223","2,685",359,"102,151","8,814",Europe
Netherlands,"27,419",,"2,945",,250,"24,224","1,358","1,600",172,"134,972","7,877",Europe
Canada,"27,063",,903,,"8,235","17,925",557,717,24,"450,717","11,942",North America
Switzerland,"25,936",,"1,174",,"14,700","10,062",386,"2,997",136,"199,000","22,993",Europe
Brazil,"25,684",422,"1,552",20,"14,026","10,106",296,121,7,"62,985",296,South America
Russia,"21,102",,170,,"1,694","19,238",8,145,1,"1,400,000","9,593",Europe
Portugal,"17,448",,567,,347,"16,534",218,"1,711",56,"191,680","18,798",Europe
Austria,"14,234",8,384,,"7,633","6,217",243,"1,580",43,"151,796","16,854",Europe
Israel,"12,046",,123,,"2,195","9,728",175,"1,392",14,"117,339","13,557",Asia
India,"11,487",,393,,"1,359","9,735",,8,0.3,"244,893",177,Asia
Ireland,"11,479",,406,,25,"11,048",194,"2,325",82,"90,646","18,358",Europe
Sweden,"11,445",,"1,033",,381,"10,031",915,"1,133",102,"54,700","5,416",Europe
S. Korea,"10,591",27,225,3,"7,616","2,750",55,207,4,"534,552","10,426",Asia
Peru,"10,303",,230,,"2,869","7,204",132,312,7,"102,216","3,100",South America
Japan,"8,100",215,146,,853,"7,101",152,64,1,"89,551",708,Asia
Chile,"7,917",,92,,"2,646","5,179",387,414,5,"87,794","4,593",South America
Ecuador,"7,603",,369,,696,"6,538",129,431,21,"25,347","1,437",South America
Poland,"7,202",,263,,618,"6,321",160,190,7,"148,321","3,919",Europe
Romania,"6,879",,351,,"1,051","5,477",241,358,18,"70,097","3,644",Europe
Norway,"6,623",,139,,32,"6,452",59,"1,222",26,"128,569","23,716",Europe
Denmark,"6,511",,299,,"2,515","3,697",100,"1,124",52,"74,210","12,812",Europe
Australia,"6,440",40,63,2,"3,598","2,779",78,253,2,"370,394","14,525",Australia/Oceania
Czechia,"6,141",30,161,,642,"5,338",92,573,15,"131,542","12,283",Europe
Pakistan,"5,988",151,107,11,"1,446","4,435",46,27,0.5,"73,439",332,Asia
Mexico,"5,399",385,406,74,"2,125","2,868",207,42,3,"40,091",311,North America
Saudi Arabia,"5,369",,73,,889,"4,407",59,154,2,"150,000","4,309",Asia
Philippines,"5,223",,335,,295,"4,593",1,48,3,"43,500",397,Asia
Malaysia,"4,987",,82,,"2,478","2,427",60,154,3,"84,791","2,620",Asia
UAE,"4,933",,28,,933,"3,972",1,499,3,"648,195","65,538",Asia
Indonesia,"4,839",,459,,426,"3,954",,18,2,"31,628",116,Asia
Serbia,"4,465",,94,,400,"3,971",131,511,11,"23,398","2,678",Europe
Panama,"3,574",,95,,72,"3,407",106,828,22,"16,053","3,720",North America
Qatar,"3,428",,7,,373,"3,048",37,"1,190",2,"52,622","18,265",Asia
Ukraine,"3,372",,98,,119,"3,155",45,77,2,"35,153",804,Europe
Luxembourg,"3,307",,67,,500,"2,740",30,"5,283",107,"29,523","47,163",Europe
Dominican Republic,"3,286",,183,,162,"2,941",143,303,17,"9,275",855,North America
Belarus,"3,281",,33,,203,"3,045",57,347,3,"71,875","7,606",Europe
Singapore,"3,252",,10,,611,"2,631",29,556,2,"72,680","12,423",Asia
Finland,"3,161",,64,,300,"2,797",74,571,12,"47,290","8,535",Europe
Colombia,"2,979",,127,,354,"2,498",106,59,2,"45,423",893,South America
Thailand,"2,643",30,43,2,"1,497","1,103",61,38,0.6,"100,498","1,440",Asia
Argentina,"2,443",166,105,3,559,"1,779",83,54,2,"22,805",505,South America
South Africa,"2,415",,27,,410,"1,978",7,41,0.5,"87,022","1,467",Africa
Egypt,"2,350",,178,,589,"1,583",,23,2,"25,000",244,Africa
Greece,"2,170",,101,,269,"1,800",76,208,10,"48,798","4,682",Europe
Algeria,"2,070",,326,,691,"1,053",60,47,7,"3,359",77,Africa
Moldova,"1,934",,40,,134,"1,760",80,479,10,"6,271","1,555",Europe
Morocco,"1,888",,126,,217,"1,545",1,51,3,"9,609",260,Africa
Iceland,"1,720",,8,,989,723,8,"5,040",23,"36,339","106,490",Europe
Croatia,"1,704",,31,,415,"1,258",34,415,8,"18,359","4,472",Europe
Hungary,"1,579",67,134,12,192,"1,253",58,163,14,"37,326","3,864",Europe
Bahrain,"1,528",,7,,645,876,3,898,4,"69,359","40,762",Asia
Iraq,"1,400",,78,,766,556,,35,2,"45,437","1,130",Asia
New Zealand,"1,386",20,9,,728,649,3,287,2,"66,499","13,790",Australia/Oceania
Estonia,"1,373",,31,,115,"1,227",11,"1,035",23,"32,263","24,321",Europe
Kuwait,"1,355",,3,,176,"1,176",26,317,0.7,,,Asia
Kazakhstan,"1,267",35,14,,203,"1,050",20,67,0.7,"81,359","4,333",Asia
Slovenia,"1,220",,56,,152,"1,012",35,587,27,"35,946","17,291",Europe
Azerbaijan,"1,197",,13,,351,833,25,118,1,"71,736","7,075",Asia
Uzbekistan,"1,165",,4,,99,"1,062",8,35,0.1,"70,000","2,091",Asia
Lithuania,"1,091",21,29,,101,961,14,401,11,"44,677","16,412",Europe
Bosnia and Herzegovina,"1,083",,40,,236,807,4,330,12,"12,407","3,782",Europe
Armenia,"1,067",,16,,265,786,30,360,5,"8,316","2,806",Asia
Hong Kong,"1,013",,4,,434,575,13,135,0.5,"96,709","12,900",Asia
Bangladesh,"1,012",,46,,42,924,1,6,0.3,"13,128",80,Asia
North Macedonia,908,,44,,86,778,15,436,21,"9,262","4,446",Europe
Cameroon,848,,14,,130,704,,32,0.5,,,Africa
Slovakia,835,,2,,113,720,5,153,0.4,"30,052","5,504",Europe
Oman,813,,4,,130,679,3,159,0.8,,,Asia
Cuba,766,,21,,132,613,9,68,2,"18,634","1,645",North America
Tunisia,747,,34,,43,670,89,63,3,"12,415","1,050",Africa
Afghanistan,714,,23,,40,651,,18,0.6,,,Asia
Bulgaria,713,,35,,81,597,29,103,5,"18,502","2,663",Europe
Diamond Princess,712,,12,,639,61,7,,,,,
Cyprus,695,,12,,65,618,8,576,10,"17,923","14,845",Asia
Andorra,659,,31,,128,500,17,"8,529",401,"1,673","21,653",Europe
Latvia,657,,5,,16,636,3,348,3,"29,018","15,384",Europe
Lebanon,641,,21,,80,540,33,94,3,"16,319","2,391",Asia
Ivory Coast,638,,6,,114,518,,24,0.2,,,Africa
Ghana,636,,8,,17,611,2,20,0.3,"44,421","1,430",Africa
Costa Rica,618,,3,,66,549,14,121,0.6,"8,703","1,708",North America
Niger,570,,14,,90,466,,24,0.6,"4,427",183,Africa
Burkina Faso,528,,30,,177,321,,25,1,,,Africa
Uruguay,492,,8,,260,224,14,142,2,"9,929","2,858",South America
Albania,475,,24,,248,203,5,165,8,"4,306","1,496",Europe
Kyrgyzstan,449,19,5,,78,366,5,69,0.8,"26,147","4,008",Asia
Honduras,419,12,31,5,9,379,10,42,3,"1,600",162,North America
Bolivia,397,43,28,,7,362,3,34,2,"2,185",187,South America
Jordan,397,,7,,235,155,5,39,0.7,"20,500","2,009",Asia
Taiwan,393,,6,,124,263,,17,0.3,"48,549","2,038",Asia
Malta,393,,3,,44,346,4,890,7,"19,121","43,305",Europe
Réunion,391,,,,40,351,3,437,,,,Africa
Nigeria,373,,11,,99,263,2,2,0.05,"5,000",24,Africa
San Marino,372,,36,,53,283,15,"10,963","1,061",846,"24,933",Europe
Djibouti,363,,2,,53,308,,367,2,"5,356","5,421",Africa
Guinea,363,,,,31,332,,28,,,,Africa
Mauritius,324,,9,,51,264,3,255,7,"8,279","6,510",Africa
Palestine,308,,2,,62,244,,60,0.4,"17,329","3,397",Asia
Georgia,300,,3,,69,228,6,75,0.8,"5,027","1,260",Asia
Senegal,299,,2,,183,114,1,18,0.1,,,Africa
Montenegro,283,,4,,46,233,7,451,6,"2,869","4,568",Europe
Vietnam,267,1,,,169,98,8,3,,"132,771","1,364",Asia
Isle of Man,254,,2,,141,111,13,"2,987",24,"2,122","24,955",Europe
DRC,241,,20,,20,201,,3,0.2,,,Africa
Sri Lanka,233,,7,,61,165,1,11,0.3,"4,768",223,Asia
Mayotte,217,,3,,69,145,3,795,11,"1,500","5,498",Africa
Kenya,216,,9,,41,166,2,4,0.2,"8,123",151,Africa
Venezuela,197,8,9,,111,77,6,7,0.3,"225,009","7,913",South America
Faeroe Islands,184,,,,163,21,,"3,766",,"5,602","114,647",Europe
Guatemala,180,13,5,,19,156,3,10,0.3,"1,134",63,North America
Paraguay,161,2,8,1,23,130,1,23,1,"3,640",510,South America
Martinique,158,1,8,2,73,77,17,421,21,,,North America
El Salvador,149,,6,,25,118,2,23,0.9,"7,230","1,115",North America
Guadeloupe,145,,8,,67,70,13,362,20,,,North America
Mali,144,,13,,34,97,,7,0.6,,,Africa
Brunei,136,,1,,107,28,2,311,2,"10,350","23,658",Asia
Rwanda,134,,,,49,85,,10,,"6,237",482,Africa
Gibraltar,129,,,,93,36,1,"3,829",,"1,649","48,945",Europe
Cambodia,122,,,,96,26,1,7,,"5,768",345,Asia
Trinidad and Tobago,113,,8,,17,88,,81,6,"1,152",823,North America
Madagascar,108,,,,23,85,1,4,,,,Africa
Jamaica,105,,5,1,21,79,,35,2,"1,290",436,North America
Monaco,93,,1,,6,86,5,"2,370",25,,,Europe
Aruba,92,,,,32,60,1,862,,"1,154","10,809",North America
French Guiana,86,,,,51,35,1,288,,,,South America
Ethiopia,82,,3,,14,65,,0.7,0.03,"4,557",40,Africa
Liechtenstein,79,,1,,55,23,,"2,072",26,900,"23,605",Europe
Togo,77,,3,,32,42,,9,0.4,"2,806",339,Africa
Congo,74,,5,,10,59,,13,0.9,,,Africa
Myanmar,74,11,4,,2,68,,1,0.07,"2,836",52,Asia
Barbados,73,,5,,15,53,4,254,17,864,"3,007",North America
Somalia,60,,2,,2,56,2,4,0.1,,,Africa
Liberia,59,,6,,4,49,,12,1,,,Africa
Bermuda,57,,5,,30,22,3,915,80,416,"6,680",North America
Gabon,57,,1,,1,55,,26,0.4,,,Africa
French Polynesia,55,,,,,55,1,196,,920,"3,275",Australia/Oceania
Uganda,55,,,,8,47,,1,,"6,661",146,Africa
Cayman Islands,54,,1,,6,47,3,822,15,580,"8,825",North America
Tanzania,53,,3,,7,43,,0.9,0.05,,,Africa
Sint Maarten,52,,9,,5,38,2,"1,213",210,134,"3,125",North America
Bahamas,49,,8,,6,35,1,125,20,,,North America
Guyana,47,,6,,8,33,5,60,8,213,271,South America
Zambia,45,,2,,30,13,1,2,0.1,"1,696",92,Africa
Macao,45,,,,10,35,1,69,,,,Asia
Guinea-Bissau,43,,,,,43,,22,,"1,500",762,Africa
Equatorial Guinea,41,,,,4,37,,29,,854,609,Africa
Haiti,40,,3,,,37,,4,0.3,365,32,North America
Benin,35,,1,,18,16,,3,0.08,,,Africa
Libya,35,,1,,9,25,,5,0.1,570,83,Africa
Eritrea,35,,,,,35,,10,,,,Africa
Sudan,32,,5,,4,23,,0.7,0.1,,,Africa
Saint Martin,32,,2,,11,19,5,828,52,,,North America
Mongolia,30,,,,5,25,,9,,"1,000",305,Asia
Syria,29,,2,,5,22,,2,0.1,,,Asia
Mozambique,28,,,,2,26,,0.9,,762,24,Africa
Antigua and Barbuda,23,,2,,3,18,1,235,20,73,745,North America
Chad,23,,,,2,21,,1,,,,Africa
Maldives,20,,,,16,4,,37,,"2,899","5,363",Asia
Angola,19,,2,,5,12,,0.6,0.06,,,Africa
Laos,19,,,,1,18,,3,,"1,235",170,Asia
Zimbabwe,18,1,3,,1,14,,1,0.2,665,45,Africa
Belize,18,,2,,,16,1,45,5,567,"1,426",North America
New Caledonia,18,,,,1,17,,63,,"2,608","9,135",Australia/Oceania
Malawi,16,,2,,,14,1,0.8,0.1,314,16,Africa
Nepal,16,,,,1,15,,0.5,,"6,299",216,Asia
Dominica,16,,,,8,8,,222,,345,"4,793",North America
Fiji,16,,,,,16,,18,,,,Australia/Oceania
Namibia,16,,,,3,13,,6,,362,142,Africa
Saint Lucia,15,,,,11,4,,82,,319,"1,737",North America
Eswatini,15,,,,8,7,,13,,714,615,Africa
Curaçao,14,,1,,10,3,,85,6,230,"1,402",North America
Grenada,14,,,,,14,2,124,,92,818,North America
Saint Kitts and Nevis,14,,,,,14,,263,,234,"4,399",North America
Botswana,13,,1,,,12,,6,0.4,"3,115","1,325",Africa
St. Vincent Grenadines,12,,,,1,11,,108,,87,784,North America
Cabo Verde,11,,1,,1,9,,20,2,,,Africa
CAR,11,,,,4,7,,2,,,,Africa
Falkland Islands,11,,,,1,10,,"3,161",,137,"39,368",South America
Greenland,11,,,,11,0,,194,,912,"16,065",North America
Montserrat,11,,,,1,10,1,"2,204",,36,"7,212",North America
Seychelles,11,,,,,11,,112,,,,Africa
Sierra Leone,11,,,,,11,,1,,,,Africa
Suriname,10,,1,,6,3,,17,2,,,South America
Turks and Caicos,10,,1,,,9,,258,26,71,"1,834",North America
MS Zaandam,9,,2,,,7,,,,,,
Gambia,9,,1,,2,6,,4,0.4,281,116,Africa
Nicaragua,9,,1,,4,4,,1,0.2,,,North America
Vatican City,8,,,,2,6,,"9,988",,,,Europe
Mauritania,7,,1,,2,4,,2,0.2,593,128,Africa
St. Barth,6,,,,4,2,,607,,,,North America
Timor-Leste,6,,,,1,5,,5,,,,Asia
Western Sahara,6,,,,,6,,10,,,,Africa
Burundi,5,,1,,,4,,0.4,0.08,,,Africa
Bhutan,5,,,,2,3,,6,,"1,166","1,511",Asia
Sao Tome and Principe,4,,,,,4,,18,,19,87,Africa
South Sudan,4,,,,,4,,0.4,,,,Africa
Anguilla,3,,,,1,2,,200,,,,North America
British Virgin Islands,3,,,,2,1,,99,,,,North America
Papua New Guinea,2,,,,,2,,0.2,,72,8,Australia/Oceania
Saint Pierre Miquelon,1,,,,,1,,173,,,,North America
Yemen,1,,,,,1,,0.03,,,,Asia
China,"82,295",46,"3,342",1,"77,816","1,137",113,57,2,,,Asia
Total:,"1,999,994","2,134","126,753",154,"484,573","1,388,668","51,603",256.6,16.3,,,All
